cohort,target,model,train_rows,test_rows,n_features,accuracy,balanced_accuracy,weighted_precision,weighted_recall,weighted_f1,macro_f1,baseline_accuracy,baseline_balanced_accuracy,delta_accuracy_vs_baseline,delta_balanced_accuracy_vs_baseline,delta_macro_f1_vs_baseline
imputed_all_rows,Function,Morph_KPCA,142,46,10,0.782608695652174,0.32432432432432434,0.6434782608695653,0.782608695652174,0.706256627783669,0.2926829268292683,0.8043478260869565,0.3333333333333333,-0.021739130434782594,-0.009009009009008973,-0.004505828190812022
imputed_all_rows,Function,Radiomics_KPCA,142,46,10,0.782608695652174,0.32432432432432434,0.6434782608695653,0.782608695652174,0.706256627783669,0.2926829268292683,0.8043478260869565,0.3333333333333333,-0.021739130434782594,-0.009009009009008973,-0.004505828190812022
imputed_all_rows,Function,Combined_KPCA,142,46,20,0.782608695652174,0.32432432432432434,0.6434782608695653,0.782608695652174,0.706256627783669,0.2926829268292683,0.8043478260869565,0.3333333333333333,-0.021739130434782594,-0.009009009009008973,-0.004505828190812022
imputed_all_rows,Pain,Morph_KPCA,142,46,10,0.9130434782608695,0.5,0.8336483931947068,0.9130434782608695,0.8715415019762847,0.4772727272727273,0.9130434782608695,0.5,0.0,0.0,0.0
imputed_all_rows,Pain,Radiomics_KPCA,142,46,10,0.9130434782608695,0.5,0.8336483931947068,0.9130434782608695,0.8715415019762847,0.4772727272727273,0.9130434782608695,0.5,0.0,0.0,0.0
imputed_all_rows,Pain,Combined_KPCA,142,46,20,0.9130434782608695,0.5,0.8336483931947068,0.9130434782608695,0.8715415019762847,0.4772727272727273,0.9130434782608695,0.5,0.0,0.0,0.0
imputed_all_rows,PainFunction,Morph_KPCA,142,46,10,0.782608695652174,0.24324324324324326,0.6434782608695653,0.782608695652174,0.706256627783669,0.21951219512195122,0.8043478260869565,0.25,-0.021739130434782594,-0.006756756756756743,-0.0033793711431090168
imputed_all_rows,PainFunction,Radiomics_KPCA,142,46,10,0.782608695652174,0.24324324324324326,0.6434782608695653,0.782608695652174,0.706256627783669,0.21951219512195122,0.8043478260869565,0.25,-0.021739130434782594,-0.006756756756756743,-0.0033793711431090168
imputed_all_rows,PainFunction,Combined_KPCA,142,46,20,0.7608695652173914,0.23648648648648649,0.6398221343873517,0.7608695652173914,0.6951154052603328,0.21604938271604937,0.8043478260869565,0.25,-0.04347826086956519,-0.013513513513513514,-0.006842183549010866
imputed_all_rows,Total,Morph_KPCA,142,46,10,0.782608695652174,0.24324324324324326,0.6434782608695653,0.782608695652174,0.706256627783669,0.21951219512195122,0.8043478260869565,0.25,-0.021739130434782594,-0.006756756756756743,-0.0033793711431090168
imputed_all_rows,Total,Combined_KPCA,142,46,20,0.782608695652174,0.24324324324324326,0.6434782608695653,0.782608695652174,0.706256627783669,0.21951219512195122,0.8043478260869565,0.25,-0.021739130434782594,-0.006756756756756743,-0.0033793711431090168
imputed_all_rows,Total,Radiomics_KPCA,142,46,10,0.7608695652173914,0.23648648648648649,0.6398221343873517,0.7608695652173914,0.6951154052603328,0.21604938271604937,0.8043478260869565,0.25,-0.04347826086956519,-0.013513513513513514,-0.006842183549010866
mri_complete_cases,Function,Morph_KPCA,22,6,10,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.2222222222222222,0.5,0.3333333333333333,0.0,0.0,0.0
mri_complete_cases,Function,Radiomics_KPCA,22,6,10,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.2222222222222222,0.5,0.3333333333333333,0.0,0.0,0.0
mri_complete_cases,Function,Combined_KPCA,22,6,20,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.2222222222222222,0.5,0.3333333333333333,0.0,0.0,0.0
mri_complete_cases,Pain,Radiomics_KPCA,22,6,10,0.5,0.38888888888888884,0.4444444444444444,0.5,0.4666666666666666,0.35555555555555557,0.5,0.3333333333333333,0.0,0.055555555555555525,0.13333333333333336
mri_complete_cases,Pain,Morph_KPCA,22,6,10,0.5,0.3333333333333333,0.3,0.5,0.375,0.25,0.5,0.3333333333333333,0.0,0.0,0.02777777777777779
mri_complete_cases,Pain,Combined_KPCA,22,6,20,0.5,0.3333333333333333,0.3,0.5,0.375,0.25,0.5,0.3333333333333333,0.0,0.0,0.02777777777777779
mri_complete_cases,PainFunction,Morph_KPCA,22,6,10,0.6666666666666666,0.5,0.6333333333333333,0.6666666666666666,0.5972222222222222,0.47222222222222215,0.5,0.3333333333333333,0.16666666666666663,0.16666666666666669,0.24999999999999994
mri_complete_cases,PainFunction,Radiomics_KPCA,22,6,10,0.5,0.3333333333333333,0.3,0.5,0.375,0.25,0.5,0.3333333333333333,0.0,0.0,0.02777777777777779
mri_complete_cases,PainFunction,Combined_KPCA,22,6,20,0.5,0.3333333333333333,0.3,0.5,0.375,0.25,0.5,0.3333333333333333,0.0,0.0,0.02777777777777779
mri_complete_cases,Total,Morph_KPCA,22,6,10,0.5,0.25,0.3,0.5,0.375,0.1875,0.5,0.25,0.0,0.0,0.020833333333333343
mri_complete_cases,Total,Combined_KPCA,22,6,20,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.5,0.25,-0.16666666666666669,-0.08333333333333334,-0.023809523809523808
mri_complete_cases,Total,Radiomics_KPCA,22,6,10,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.5,0.25,-0.33333333333333337,-0.16666666666666669,-0.08333333333333333
